1998,0.7,1.17,0.83,0.77,0.91,1.03,0.89,0.87,0.61,0.63,0.6,0.8
1999,0.73,0.86,0.46,0.38,0.43,0.59,0.65,0.55,0.64,0.54,0.55,0.48
2000,0.29,0.77,0.65,0.72,0.51,0.66,0.6,0.62,0.56,0.34,0.46,0.44
2001,0.67,0.64,0.7,0.6,0.72,0.64,0.69,0.65,0.67,0.62,0.85,0.74
2002,1,0.96,1.09,0.82,0.86,0.61,0.83,0.72,0.86,0.66,0.7,0.57
2003,0.96,0.77,0.74,0.69,0.85,0.65,0.74,0.8,0.79,0.83,0.64,0.89
2004,0.71,0.92,0.78,0.76,0.46,0.7,0.25,0.63,0.56,0.77,0.92,0.71
2005,0.97,0.87,0.99,0.82,0.77,0.83,0.79,0.77,0.98,1,0.93,0.92
2006,0.8,1,0.82,0.65,0.51,0.82,0.7,0.89,0.81,0.92,0.93,0.98
2007,1.28,0.94,0.98,1,0.99,0.75,0.82,0.88,0.86,0.83,0.75,0.75
2008,0.53,0.49,0.92,0.68,0.61,0.57,0.78,0.45,0.81,0.84,0.86,0.7
2009,0.79,0.78,0.69,0.77,0.85,0.83,0.94,0.91,0.95,0.75,0.9,0.76
2010,0.95,1.07,1.13,0.97,0.99,0.92,0.79,0.87,0.9,0.96,1.06,0.63
2011,0.79,0.64,0.8,0.84,0.66,0.8,0.91,1.05,0.82,0.88,0.83,0.89
2012,0.67,0.63,0.74,0.88,1.02,0.72,0.64,0.9,0.9,1,1,0.75
2013,1.03,0.84,0.88,0.7,0.75,1,0.77,0.89,1.05,0.91,0.97,0.93
2014,1.02,0.72,0.86,0.95,1.09,0.81,0.75,0.91,1.1,1.03,0.86,0.97
2015,1.03,1.15,1.17,0.81,0.91,0.93,0.71,0.94,0.89,1.28,1.28,1.48
2016,1.36,1.71,1.7,1.38,1.24,0.97,1.04,1.36,1.2,1.23,1.31,1.23
2017,1.24,1.47,1.44,1.17,1.26,0.83,1.09,1.12,1.04,1.23,1.15,1.25
2018,1.14,1.18,1.18,1.23,1.04,0.97,1.16,1,1.01,1.21,1.08,1.26
2019,1.21,1.27,1.45,1.31,1.13,1.13,1.2,1.16,1.15,1.28,1.33,1.47
2020,1.49,1.61,1.41,1.45,1.31,1.23,1.08,1.06,1.33,1.21,1.55,1.19
2021,1.15,0.93,1.22,1,0.97,1.1,1.21,1.12,1.28,1.36,1.17,1.25
2022,1.15,1.12,1.42,1.05,1.1,1.18,1.23,1.21,1.15,1.28,0.92,1.05
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
